Rank,Player,Nation,Position,Squad,Age,Year of Birth,Matches Played,Starts,Minutes,Minutes Played Divided By 90,Goals,Assists,Goals and Assists,Non-penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,Goals and Assists per 90,Non-penalty Goals per 90,Goals and Assists minus Penalty Kicks per 90
313,Nim Tamang,inIND,DF,Goa,28.0,1995.0,8,5,389,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
314,Deepak Tangri,inIND,MF,Mohun Bagan,25.0,1999.0,17,11,974,10.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
315,Sahil Tavora,inIND,MF,Goa,28.0,1995.0,20,10,1098,12.2,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16
316,Anirudh Thapa,inIND,MF,Mohun Bagan,26.0,1998.0,15,8,757,8.4,0,2,2,0,0,0,2,0,0.0,0.24,0.24,0.0,0.24
317,Tiri,esESP,DF,Mumbai City,33.0,1991.0,21,21,1853,20.6,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15
318,Hrithik Tiwari,inIND,GK,Goa,22.0,2002.0,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
319,Jesin TK,inIND,FW,East Bengal,24.0,2000.0,4,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
320,Redeem Tlang,inIND,DF,NorthEast Utd,29.0,1995.0,16,12,1164,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
321,Jon Toral,esESP,MF,Mumbai City,29.0,1995.0,16,12,996,11.1,1,0,1,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09
322,Rehenesh TP,inIND,GK,Mumbai City,31.0,1993.0,7,6,506,5.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
323,Muhammed Uvais,inIND,DF,Jamshedpur,26.0,1998.0,24,24,2159,24.0,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08
324,Sreekuttan V.S.,inIND,FW,Jamshedpur,25.0,1998.0,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
325,Aron Vanlalrinchhana,inIND,MF,Hyderabad FC,20.0,2004.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
326,Isak Vanlalruatfela,inIND,"MF,FW",Odisha,23.0,2001.0,20,19,1634,18.2,3,5,8,3,0,0,1,0,0.17,0.28,0.44,0.17,0.44
327,Vanlalzuidika,inIND,DF,Mohammedan,26.0,1998.0,22,22,1911,21.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
328,Isaac Vanmalsawma,inIND,MF,Hyderabad FC,27.0,1996.0,18,14,1199,13.3,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08
329,Soham Varshneya,inIND,MF,Bengaluru,19.0,2004.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
330,Vinith Venkatesh,inIND,"FW,MF",Bengaluru,19.0,2005.0,16,7,529,5.9,1,2,3,1,0,0,2,0,0.17,0.34,0.51,0.17,0.51
331,Ezequiel Vidal,arARG,"MF,FW",Punjab,28.0,1995.0,22,20,1590,17.7,7,3,10,7,0,0,6,1,0.4,0.17,0.57,0.4,0.57
332,Prachit Vishwas,inIND,MF,Goa,18.0,2006.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
333,Ryan Williams,auAUS,FW,Bengaluru,30.0,1993.0,17,13,1238,13.8,4,3,7,4,0,0,3,0,0.29,0.22,0.51,0.29,0.51
334,Robin Yadav,inIND,DF,NorthEast Utd,22.0,2001.0,5,1,177,2.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
335,Vishal Yadav,inIND,MF,Punjab,16.0,2008.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
336,Irfan Yadwad,inIND,"MF,FW",Chennaiyin,23.0,2001.0,23,23,1863,20.7,4,4,8,4,0,0,3,0,0.19,0.19,0.39,0.19,0.39
337,Bikash Yumnam,inIND,DF,Kerala Blasters,20.0,2003.0,3,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
338,Bikash Yumnam,inIND,DF,Chennaiyin,20.0,2003.0,10,9,764,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
339,Héctor Yuste,esESP,DF,East Bengal,36.0,1988.0,18,16,1352,15.0,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07
340,Míchel Zabaco,esESP,DF,NorthEast Utd,35.0,1989.0,21,21,1890,21.0,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05
341,Joe Zoherliana,inIND,DF,Mohammedan,25.0,1999.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
342,Jeremy Zohminghlua,inIND,DF,Odisha,19.0,2004.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
